Name,Grade,Votes
欢迎加入NHK！,8.2,(6042人评分)
天元突破红莲螺岩 螺岩篇,8.2,(3128人评分)
攻壳机动队 STAND ALONE COMPLEX 笑面男,8.2,(1207人评分)
飞跃巅峰！,8.2,(4180人评分)
排球少年,8.2,(6257人评分)
昭和元禄落语心中,8.2,(2980人评分)
伤物语III 冷血篇,8.2,(5609人评分)
水星领航员,8.2,(3347人评分)
夏目友人帐 参,8.2,(7416人评分)
电脑线圈,8.2,(4024人评分)
银魂°,8.2,(3355人评分)
全金属狂潮 校园篇,8.2,(5537人评分)
魔卡少女樱,8.2,(8225人评分)
轻音少女,8.1,(19520人评分)
机动警察 NEW OVA,8.2,(670人评分)
福音战士新剧场版：序,8.1,(11339人评分)
物语系列 第二季,8.1,(8755人评分)
太阳之牙达格拉姆,8.5,(162人评分)
黄金神威 第三季,8.2,(2493人评分)
水星领航员 OVA ～ARIETTA～,8.2,(1231人评分)
Fate/Zero,8.1,(22086人评分)
春宵苦短，少女前进吧！,8.1,(6969人评分)
高分少女 第二季,8.1,(3538人评分)
终物语（下）,8.1,(4933人评分)
飞跃巅峰2！,8.1,(3389人评分)
灵能百分百 第二季,8.1,(10069人评分)
辉夜姬物语,8.1,(2244人评分)
剧场版 吹响！悠风号～誓言的终章～,8.1,(7091人评分)
寒蝉鸣泣之时 解,8.1,(9185人评分)
回忆三部曲,8.1,(3085人评分)
王牌投手 振臂高挥～夏日大会篇～,8.1,(1401人评分)
猎人,8.1,(4542人评分)
爆漫王。2,8.1,(4378人评分)
日常 ETV版,8.1,(1785人评分)
山水情,8.2,(665人评分)
龙珠Z,8.1,(2741人评分)
别对映像研出手！,8.1,(6945人评分)
少女终末旅行,8.1,(11100人评分)
人狼,8.1,(2228人评分)
悠久之翼2,8.1,(4708人评分)
心灵游戏,8.1,(1722人评分)
攻壳机动队 S.A.C. 2nd GIG 个别的十一人,8.1,(1088人评分)
进击的巨人,8.1,(20652人评分)
日本动画（人）博览会,8.1,(2010人评分)
宇宙兄弟,8.1,(1590人评分)
明日之丈,8.2,(428人评分)
灵能百分百 第三季,8.1,(6818人评分)
王牌投手 振臂高挥,8.1,(1868人评分)
Heart Catch 光之美少女！,8.1,(1104人评分)
剧场版 吹响！悠风号～想要传达的旋律～,8.1,(3464人评分)
冰海战记 第二季,8.1,(4577人评分)
奇诺之旅,8.1,(3910人评分)
老人与海,8.1,(858人评分)
装甲骑兵VOTOMS,8.2,(480人评分)
瑞克和莫蒂 第四季,8.1,(2293人评分)
妄想代理人,8.1,(3680人评分)
怪医黑杰克 OVA,8.1,(659人评分)
剧场版 魔法少女小圆 [后篇] 永远的物语,8.1,(4563人评分)
龙与虎,8.0,(19098人评分)
罗小黑战记 众生之门篇,8.1,(2082人评分)
攻壳机动队 S.A.C. SSS 3D,8.1,(966人评分)
祖先大人万万岁,8.1,(785人评分)
寒蝉鸣泣之时,8.0,(10863人评分)
一拳超人,8.0,(14514人评分)
交响诗篇,8.0,(3506人评分)
斩服少女,8.0,(12470人评分)
降世神通：最后的气宗 第三季,8.1,(662人评分)
续 夏目友人帐,8.0,(6439人评分)
超时空要塞 可曾记得爱,8.1,(1806人评分)
剧场版 空之境界 第七章 杀人考察（后）,8.0,(7383人评分)
娜娜,8.0,(2857人评分)
命运石之门 0,8.0,(9190人评分)
海马,8.0,(1841人评分)
游戏人生 零,8.0,(11424人评分)
悠哉日常大王 Repeat,8.0,(5471人评分)
回转企鹅罐,8.0,(9233人评分)
四叶游戏,8.1,(1135人评分)
小魔女DoReMi 大合奏,8.2,(292人评分)
剑风传奇,8.1,(1583人评分)
黑客帝国动画版,8.0,(1598人评分)
吊带袜天使,8.0,(8297人评分)
JOJO的奇妙冒险 星尘斗士,8.0,(10922人评分)
歌牌情缘,8.0,(4653人评分)
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,8.1,(477人评分)
GIRLS BAND CRY,8.0,(3674人评分)
夏目友人帐,8.0,(9129人评分)
狼的孩子雨和雪,8.0,(6466人评分)
相聚一刻,8.1,(449人评分)
凉宫春日的忧郁 2009,8.0,(13769人评分)
红猪,8.0,(4723人评分)
进击的巨人 第二季,8.0,(13260人评分)
机动战士高达 THE ORIGIN,8.0,(2122人评分)
白兔糖,8.0,(7260人评分)
剧场版 悠哉日常大王 Vacation,8.0,(2985人评分)
你的名字。,8.0,(21309人评分)
校园迷糊大王,8.0,(3432人评分)
擅长捉弄的高木同学 第三季,8.0,(4666人评分)
悠哉日常大王,8.0,(8347人评分)
辉夜大小姐想让我告白-初吻不会结束-,8.0,(3326人评分)
AIR,8.0,(9920人评分)
小马宝莉：友谊就是魔法 第一季,8.0,(961人评分)
夏目友人帐 肆,8.0,(5242人评分)
